Radiation,Cost
0,0
0,0
0,0
0,0
0,0
105.7,27.30051
310.42,9.295998
498.27,5.791366
638.5,4.519442
712.33,4.051021
720.48,4.005196
659.75,4.373875
535.05,5.39326
358.4,8.051517
152.48,18.92487
8.6,335.5423
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
110.98,26.00166
315.62,9.142842
503.25,5.734056
643.2,4.486418
704,4.098954
714.05,4.041263
652.6,4.421796
525.12,5.495246
345.9,8.34248
142.65,20.22898
8.42,342.7154
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
104.08,27.72544
304.7,9.470508
493,5.853274
634.73,4.546286
694.48,4.155143
708.58,4.07246
651,4.432663
528.33,5.461859
351.25,8.215413
148.05,19.49114
9.2,313.6591
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
101.55,28.41619
292.58,9.86282
471.85,6.115638
605.15,4.76851
663.73,4.347647
664.45,4.342936
597.77,4.827381
473.8,6.090468
302.85,9.52836
120.05,24.03718
7.95,362.9766
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
72.6,39.74744
231.73,12.4527
407.55,7.080515
550.3,5.243801
633.88,4.552382
634.9,4.545068
568.67,5.074408
436.77,6.606827
274,10.53162
104.08,27.72544
7.58,380.6944
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
92.55,31.17951
281.27,10.25941
473.45,6.094971
625.92,4.610276
703.1,4.104201
717.38,4.022504
661.15,4.364613
539.27,5.351056
364.88,7.908528
161.77,17.83807
11.55,249.841
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
119.33,24.18222
324.15,8.902248
515.33,5.599643
657.5,4.388842
737.73,3.911545
744.35,3.876757
680.88,4.238139
553.95,5.20925
376.12,7.672189
168.88,17.08707
12.62,228.658
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
120.65,23.91764
322.7,8.942249
512.92,5.625953
651.52,4.429125
724.85,3.98105
730.95,3.947827
669.1,4.312754
543,5.314298
363.8,7.932006
159.05,18.14312
12.3,234.6068
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
118.05,24.44442
317.52,9.088133
509.35,5.665385
653.45,4.416044
728.15,3.963007
737.42,3.913189
677.15,4.261484
549.65,5.250002
371.2,7.773879
166.35,17.34694
13.33,216.4789
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
